"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Female","18-22","Aqaba","Yes","High School","5 times","3 times","2 times","5 times or more","3 times","2 times","2 times","2 times",4,13,8,40,"low"
"Female","18-22","Irbid","No","High School","3 times","6 or 7 times","5 times or more","5 times or more","5 times or more","3 times","5 times or more","Never",0,12,15,40,"high"
"Female","18-22","Irbid","No","High School","2 times","4 times","4 times","3 times","4 times","4 times","2 times","2 times",1,26,11,26,"high"
"Female","18-22","Irbid","No","Undergraduate","4 times","3 times","5 times or more","Never","5 times or more","5 times or more","4 times","Never",0,14,5,26,"high"
"Female","18-22","Ajlun","No","High School","3 times","2 times","3 times","5 times or more","1 time","4 times","Never","1 time",1,27,17,27,"high"
"Female","18-22","Irbid","No","Undergraduate","6-7 times","3 times","4 times","4 times","5 times or more","4 times","4 times","5 times or more",0,21,11,34,"high"
"Female","18-22","Irbid","No","Undergraduate","3 times","6 or 7 times","3 times","4 times","5 times or more","5 times or more","2 times","Never",0,21,9,26,"high"
"Male","18-22","Irbid","No","Undergraduate","4 times","2 times","3 times","2 times","Never","4 times","2 times","3 times",0,23,15,28,"high"
"Female","18-22","Aqaba","Yes","High School","3 times","4 times","1 time","5 times or more","1 time","3 times","Never","Never",6,17,8,46,"very low"
"Female","18-22","Ajlun","No","Undergraduate","3 times","6 or 7 times","4 times","4 times","1 time","3 times","Never","Never",5,14,8,30,"very low"
"Female","18-22","Ajlun","No","High School","6-7 times","6 or 7 times","Never","Never","5 times or more","5 times or more","5 times or more","3 times",0,18,13,33,"high"
"Male","18-22","Irbid","Yes","High School","5 times","4 times","5 times or more","5 times or more","1 time","5 times or more","5 times or more","Never",0,23,18,28,"high"
"Female","18-22","Amman","No","High School","3 times","6 or 7 times","2 times","2 times","5 times or more","3 times","4 times","Never",0,19,14,29,"high"
"Female","18-22","Irbid","No","High School","2 times","2 times","1 time","1 time","4 times","4 times","1 time","2 times",3,12,16,38,"low"
"Male","18-22","Irbid","No","High School","5 times","Never","1 time","2 times","2 times","3 times","2 times","Never",0,22,23,33,"high"
"Female","18-22","Irbid","No","Undergraduate","2 times","Never","3 times","4 times","5 times or more","3 times","2 times","Never",0,30,12,32,"high"
"Female","18-22","Aqaba","No","High School","5 times","4 times","2 times","4 times","3 times","2 times","3 times","Never",2,24,16,36,"low"
"Female","18-22","Ajlun","No","Undergraduate","5 times","4 times","4 times","5 times or more","2 times","4 times","Never","1 time",0,20,14,27,"high"
"Female","18-22","Irbid","No","Undergraduate","5 times","6 or 7 times","3 times","1 time","4 times","3 times","2 times","3 times",0,29,32,29,"high"
"Female","18-22","Aqaba","No","High School","6-7 times","6 or 7 times","5 times or more","Never","5 times or more","5 times or more","5 times or more","5 times or more",0,21,18,29,"high"
"Female","18-22","Irbid","No","Undergraduate","3 times","1 time","2 times","4 times","5 times or more","1 time","4 times","2 times",0,16,15,35,"high"
"Female","50 and older","Aqaba","No","Undergraduate","6-7 times","4 times","5 times or more","4 times","3 times","5 times or more","3 times","3 times",0,23,10,26,"high"
"Female","18-22","Ajlun","No","High School","5 times","2 times","1 time","5 times or more","5 times or more","2 times","5 times or more","1 time",0,21,20,28,"high"
"Male","18-22","Amman","No","Undergraduate","3 times","6 or 7 times","2 times","2 times","3 times","4 times","1 time","Never",0,16,12,26,"high"
"Female","18-22","Aqaba","No","High School","3 times","6 or 7 times","5 times or more","Never","5 times or more","3 times","4 times","2 times",2,17,20,44,"low"
"Female","18-22","Aqaba","Yes","Undergraduate","None","2 times","2 times","Never","Never","2 times","4 times","Never",2,13,18,34,"low"
"Female","18-22","Aqaba","No","High School","2 times","1 time","5 times or more","5 times or more","5 times or more","2 times","3 times","Never",6,19,9,40,"very low"
"Female","18-22","Amman","No","High School","5 times","6 or 7 times","3 times","3 times","Never","5 times or more","5 times or more","1 time",0,19,8,29,"high"
"Female","18-22","Aqaba","No","High School","4 times","3 times","1 time","4 times","5 times or more","4 times","4 times","3 times",7,15,17,36,"very low"
"Male","18-22","Aqaba","Yes","High School","None","3 times","3 times","5 times or more","2 times","4 times","2 times","1 time",3,14,13,36,"low"
"Male","18-22","Irbid","No","High School","5 times","1 time","5 times or more","3 times","1 time","2 times","4 times","Never",0,30,22,22,"high"
"Female","18-22","Irbid","Yes","High School","3 times","6 or 7 times","5 times or more","5 times or more","4 times","4 times","3 times","Never",0,24,17,27,"high"
"Female","18-22","Irbid","No","High School","3 times","5 times","5 times or more","5 times or more","4 times","5 times or more","5 times or more","Never",1,14,18,27,"high"
"Female","18-22","Aqaba","No","High School","3 times","3 times","2 times","1 time","Never","2 times","2 times","Never",1,18,15,29,"high"
"Female","18-22","Ajlun","No","Undergraduate","4 times","3 times","2 times","5 times or more","Never","2 times","2 times","1 time",5,19,17,32,"very low"
"Female","18-22","Aqaba","No","High School","2 times","3 times","Never","2 times","5 times or more","5 times or more","3 times","Never",0,14,14,34,"high"
"Male","18-22","Aqaba","No","Undergraduate","4 times","6 or 7 times","3 times","3 times","3 times","3 times","3 times","3 times",6,26,18,30,"very low"
"Female","18-22","Irbid","No","Undergraduate","3 times","6 or 7 times","Never","5 times or more","3 times","5 times or more","3 times","Never",0,20,16,31,"high"
